City,Sunshine hours,Cost bottle of water,Obesity Levels,Life expectancy(years),Pollution(Index score),Annual avg. hours worked,Happiness levels(Country),Outdoor activities,No. of take out places,Monthly gym membership
Amsterdam,1858.0,1.92,20.4,81.2,30.93,1434.0,1,422,1048,34.9
Sydney,2636.0,1.48,29.0,82.1,26.86,1712.0,1,406,1103,41.66
Vienna,1884.0,1.94,20.1,81.0,17.33,1501.0,1,132,1008,25.74
Stockholm,1821.0,1.72,20.6,81.8,19.63,1452.0,1,129,598,37.31
Copenhagen,1630.0,2.19,19.7,79.8,21.24,1380.0,1,154,523,32.53
Helsinki,1662.0,1.6,22.2,80.4,13.08,1540.0,1,113,309,35.23
Fukuoka,2769.0,0.78,4.3,83.2,,1644.0,0,35,539,55.87
Berlin,1626.0,1.55,22.3,80.6,39.41,1386.0,1,254,1729,26.11
Barcelona,2591.0,1.19,23.8,82.2,65.19,1686.0,0,585,2344,37.8
Vancouver,1938.0,1.08,29.4,81.7,24.26,1670.0,1,218,788,31.04
Melbourne,2363.0,1.57,29.0,82.1,25.9,1712.0,1,243,813,36.89
Beijing,2671.0,0.26,6.2,75.4,85.43,,0,223,261,38.62
Bangkok,2624.0,0.22,10.0,74.1,76.64,,0,377,1796,50.03
Buenos Aires,2525.0,0.57,28.3,75.9,52.64,,0,246,1435,22.45
Toronto,2066.0,1.09,29.4,81.7,37.83,1670.0,1,174,1656,32.64
Madrid,2769.0,1.3,23.8,82.2,52.68,1686.0,0,216,2491,34.54
Jakarta,2983.0,0.21,6.9,68.5,84.39,,0,114,833,29.94
Seoul,2066.0,0.59,4.7,81.3,57.82,1967.0,0,144,389,43.03
Frankfurt,1662.0,1.95,22.3,80.6,37.78,1386.0,1,23,551,39.01
Geneva,,2.62,19.5,82.6,27.25,1557.0,1,44,444,70.0
Tel Aviv,3311.0,1.63,26.1,81.9,47.28,1898.0,1,139,420,58.31
Istanbul,2218.0,0.15,32.1,74.7,69.49,1832.0,0,419,934,16.97
Cairo,3542.0,0.16,32.0,70.7,91.74,,0,323,250,23.25
Taipei,1405.0,0.57,6.2,75.4,49.32,,0,134,717,34.76
Los Angeles,3254.0,1.52,36.2,78.8,66.07,1779.0,0,223,1439,32.0
Mumbai,2584.0,0.15,3.9,67.3,82.84,,0,187,1183,19.54
Boston,2634.0,1.39,36.2,78.8,27.03,1779.0,0,88,588,46.27
Dublin,1453.0,1.4,25.3,80.5,40.07,1772.0,1,159,659,37.35
Tokyo,1877.0,0.76,4.3,83.2,42.84,1644.0,0,387,5802,70.82
Chicago,2508.0,1.2,36.2,78.8,43.33,1779.0,0,171,1320,41.14
Hong Kong,1836.0,0.75,6.2,75.4,67.46,,0,277,1257,57.95
Shanghai,1776.0,0.29,6.2,75.4,77.4,,0,108,346,44.68
Brussels,1546.0,2.11,22.1,80.4,62.67,1583.0,0,55,988,25.34
San Francisco,3062.0,1.6,36.2,78.8,47.36,1779.0,0,242,1031,65.13
Paris,1662.0,1.95,21.6,81.8,65.1,1505.0,0,331,4363,35.93
Sao Paulo,2003.0,0.44,22.1,73.9,79.78,,0,158,3355,16.07
Zurich,1566.0,3.2,19.5,82.6,17.31,1557.0,1,69,538,73.11
London,1633.0,1.16,27.8,80.4,58.91,1538.0,1,433,6417,42.71
Johannesburg,3124.0,0.59,28.3,56.3,61.83,,0,194,492,24.28
Milan,1915.0,1.15,19.9,82.7,67.19,1718.0,0,110,2396,53.49
"Washington, D.C.",2528.0,1.45,36.2,78.8,39.18,1779.0,0,83,744,65.99
New York,2535.0,1.32,36.2,78.8,57.36,1779.0,0,359,3081,64.66
Moscow,1901.0,0.41,23.1,69.5,57.63,1965.0,0,322,3206,31.4
Mexico City,2555.0,0.45,28.9,76.4,82.78,2137.0,0,192,1313,41.99
